,A,B,G
280,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],c1ccc(cc1)c1ccccc1
281,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc3cc(ccc3cc2c1)S(=O)(=O)[O-],c1ccc2cc3ccccc3cc2c1
282,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc3cc(ccc3cc2c1)S(=O)(=O)[O-],c1ccc2cc3ccccc3cc2c1
283,NC(N)=[NH2+],Cc1ccc(cc1)S(=O)(=O)[O-],Cc1cccc(C)c1
284,NC(N)=[NH2+],Cc1ccc(cc1)S(=O)(=O)[O-],Cc1ccc(C)cc1
285,NC(N)=[NH2+],Cc1ccc(cc1)S(=O)(=O)[O-],CN(C)c1ccccc1
286,NC(N)=[NH2+],Cc1ccc(cc1)S(=O)(=O)[O-],Cc1ccccc1C
287,NC(N)=[NH2+],O=S(=O)([O-])c1ccccc1,Cc1ccc(C)cc1
288,NC(N)=[NH2+],O=S(=O)([O-])c1ccccc1,CN(C)c1ccccc1
289,NC(N)=[NH2+],O=S(=O)([O-])c1ccccc1,Clc1ccccc1Cl
290,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],Cc1ccc2ccccc2c1C
291,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],Cc1cccc2c(C)cccc12
292,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],Cc1ccc2cccc(C)c2c1
293,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],Cc1cccc2cccc(C)c12
294,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],Cc1cccc2cccc(C)c12
295,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],Cc1ccc2cc(C)ccc2c1
296,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],Cc1ccc2cc(C)ccc2c1
297,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],Cc1ccc2ccc(C)cc2c1
298,[nH+]1ccccc1,CC1(C)C2CCC1(CS(=O)(=O)[O-])C(=O)C2,O
299,[NH3+]C(C)C(C)C,O=S(=O)([O-])c1ccc2cc3cc(ccc3cc2c1)S(=O)(=O)[O-],C1COCCO1
300,[NH3+]CC(C)(C)C,O=S(=O)([O-])c1ccc2cc3cc(ccc3cc2c1)S(=O)(=O)[O-],C1COCCO1
301,[NH3+]C1CCCCC1,O=S(=O)([O-])OC1C(OS(=O)(=O)[O-])C(OS(=O)(=O)[O-])C(OS(=O)(=O)[O-])C(OS(=O)(=O)[O-])C1OS(=O)(=O)[O-],O
302,NC(=[NH2+])c1ccc(cc1)C(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)C(c1ccc(cc1)S(=O)(=O)[O-])(c1ccc(cc1)S(=O)(=O)[O-])c1ccc(cc1)S(=O)(=O)[O-],O
303,NC(=[NH2+])c1ccc(cc1)C(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)C(c1ccc(cc1)S(=O)(=O)[O-])(c1ccc(cc1)S(=O)(=O)[O-])c1ccc(cc1)S(=O)(=O)[O-],O
304,[nH+]1cccc2ccc3cccnc3c12,Oc1c2Cc3cc(cc(Cc4cc(cc(Cc5cc(cc(Cc1cc(c2)S(=O)(=O)[O-])c5[O-])S(=O)(=O)[O-])c4O)S(=O)(=O)[O-])c3[O-])S(=O)(=O)[O-],O
305,[nH+]1cccc2ccc3cccnc3c12,Oc1c2Cc3cc(cc(Cc4cc(cc(Cc5cc(cc(Cc6cc(cc(Cc7cc(cc(Cc1cc(c2)S(=O)(=O)[O-])c7O)S(=O)(=O)[O-])c6O)S(=O)(=O)[O-])c5O)S(=O)(=O)[O-])c4O)S(=O)(=O)[O-])c3O)S(=O)(=O)[O-],O
306,[nH+]1cccc2ccc3cccnc3c12,Oc1c2Cc3cc(cc(Cc4cc(cc(Cc5cc(cc(Cc6cc(cc(Cc7cc(cc(Cc1cc(c2)S(=O)(=O)[O-])c7O)S(=O)(=O)[O-])c6O)S(=O)(=O)[O-])c5O)S(=O)(=O)[O-])c4O)S(=O)(=O)[O-])c3O)S(=O)(=O)[O-],O
307,[nH+]1ccc(cc1)c1cc[nH+]cc1,O=S(=O)([O-])c1ccc2cc(ccc2c1)S(=O)(=O)[O-],O
308,C(Nc1[nH+]cnc2NC=Nc12)c1ccccc1,OC(=O)c1cc(ccc1O)S(=O)(=O)[O-],O
309,[nH+]1cccc2ccc3ccccc3c12,O=S(=O)([O-])c1ccccc1,ClCCl
310,NC(N)=[NH2+],Oc1c2Cc3cc(cc(Cc4cc(cc(Cc5cc(cc(Cc1cc(c2)S(=O)(=O)[O-])c5O)S(=O)(=O)[O-])c4O)S(=O)(=O)[O-])c3O)S(=O)(=O)[O-],O
311,C[n+]1cccc(c1)C1=C2C=CC(=N2)C(=C2NC(=C(c3ccc[n+](C)c3)C3=NC(=C(C4=CC=C1N4)c1ccc[n+](C)c1)C=C3)C=C2)c1ccc[n+](C)c1,Cc1ccc(cc1)S(=O)(=O)[O-],CO
312,[NH2+]1CC[NH2+]Cc2c3ccccc3c(C[NH2+]CC[NH2+]CC[NH2+]Cc3c4ccccc4c(C[NH2+]CC1)c1ccccc31)c1ccccc21,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],O
313,[NH3+]c1ccc(C)cc1,COc1cc(cc(c1O)C1=CC(=O)c2ccccc2O1)S(=O)(=O)[O-],O
314,[NH3+]CCCCCC[NH2+]CCCCCC[NH3+],Oc1c2Cc3cc(cc(Cc4cc(cc(Cc5cc(cc(Cc6cc(cc(Cc7cc(cc(Cc1cc(c2)S(=O)(=O)[O-])c7O)S(=O)(=O)[O-])c6O)S(=O)(=O)[O-])c5O)S(=O)(=O)[O-])c4O)S(=O)(=O)[O-])c3O)S(=O)(=O)[O-],O
315,C[NH2+]C,Oc1c2Cc3cc(cc(Cc4cc(cc(Cc5cc(cc(Cc6cc(cc(Cc7cc(cc(Cc1cc(c2)S(=O)(=O)[O-])c7O)S(=O)(=O)[O-])c6O)S(=O)(=O)[O-])c5O)S(=O)(=O)[O-])c4O)S(=O)(=O)[O-])c3O)S(=O)(=O)[O-],CN(C)C=O
316,CC1[NH2+]CC[NH2+]C1,Cc1ccc(cc1)S(=O)(=O)[O-],O
317,N1C2=C(c3ccccc3)C3=[NH+]C(=C(C4=C(c5ccccc5)C(=C(N4)C(=C4N=C(C(=C1C(=C2c1ccccc1)c1ccccc1)c1ccccc1)C(=C4c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)C(=C3c1ccccc1)c1ccccc1,O=S(=O)([O-])c1ccc2cc3ccccc3cc2c1,CO
318,NN1C(=NN=C1c1ccncc1)c1cc[nH+]cc1,OC(=O)c1cc(cc(c1)S(=O)(=O)[O-])C(O)=O,O
319,[NH3+]C(C)C,O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
320,[NH3+]C(C)(C)C,O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
321,[NH3+]C,O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
322,[NH3+]CC,O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
323,[NH3+]c1cc[n+](CC[n+]2ccc([NH3+])cc2)cc1,Oc1c2Cc3cc(cc(Cc4cc(cc(Cc5cc(cc(Cc6cc(cc(Cc1cc(c2)S(O)(=O)=O)c6O)S(=O)(=O)[O-])c5O)S(=O)(=O)[O-])c4O)S(=O)(=O)[O-])c3O)S(=O)(=O)[O-],O
324,Nc1[nH+]c(N)nc(N)[nH+]1,Oc1ccc(cc1)S(=O)(=O)[O-],O
325,[NH3+]Cc1ccccc1,O=S(=O)([O-])c1ccccc1,O
326,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1ccc(cc1)c1c2ccccc2cc2ccccc12,Clc1ccccc1Cl
327,[NH2+]1CC[NH2+]CC1,OC(=O)c1cc(ccc1O)S(=O)(=O)[O-],O
328,[NH2+]1CCCC1,OC(=O)c1cc(ccc1O)S(=O)(=O)[O-],O
329,[nH+]1ccc(cc1)c1cc[nH+]cc1,Oc1c2Cc3cc(cc(Cc4cc(cc(Cc5cc(cc(Cc1cc(c2)S(=O)(=O)[O-])c5O)S(=O)(=O)[O-])c4O)S(=O)(=O)[O-])c3O)S(=O)(=O)[O-],O
330,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1cccc2cc3cccc(c3cc12)S(=O)(=O)[O-],ClCCCl
331,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1cccc2cc3cccc(c3cc12)S(=O)(=O)[O-],ICCCI
332,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1cccc2cc3cccc(c3cc12)S(=O)(=O)[O-],CCCCBr
333,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1cccc2cc3cccc(c3cc12)S(=O)(=O)[O-],CC(C)=O
334,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1cccc2cc3cccc(c3cc12)S(=O)(=O)[O-],CC#N
335,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1cccc2cc3cccc(c3cc12)S(=O)(=O)[O-],CCOC(C)=O
336,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1cccc2cc3cccc(c3cc12)S(=O)(=O)[O-],Cc1ccccc1
337,Cc1[nH+]c2nc(N)ccc2c(C)c1,OC(=O)c1cc(ccc1O)S(=O)(=O)[O-],O
338,CC1=[NH+]C=CN1,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],O
339,Nc1[nH+]cnc2[NH+]=CNc12,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],O
340,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],c1ccc2ccccc2c1
341,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],C=Cc1ccc(C=C)cc1
342,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],Brc1ccc(Br)cc1
343,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],Brc1ccc(Br)cc1
344,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],O=N(=O)c1ccccc1
345,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],O=N(=O)c1cccc2ccccc12
346,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],O=N(=O)c1cccc2ccccc12
347,[NH3+]Cc1ccccc1,O=S(=O)([O-])c1ccc(cc1)C#Cc1ccc(cc1)C#Cc1ccc(cc1)S(=O)(=O)[O-],O=C=O
348,[NH3+]Cc1ccccc1,O=S(=O)([O-])c1ccc(cc1)C#Cc1ccc(cc1)C#Cc1ccc(cc1)S(=O)(=O)[O-],C1COCCO1
349,[NH3+]Cc1cccc(C[NH3+])c1,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],O
350,[NH3+]c1ccc(C)c([NH3+])c1,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],O
351,[NH3+]C(C)CC,O=S(=O)([O-])c1ccc2cc3cc(ccc3cc2c1)S(=O)(=O)[O-],c1ccccc1
352,[NH3+]C(C)CC,O=S(=O)([O-])c1ccc2cc3cc(ccc3cc2c1)S(=O)(=O)[O-],c1ccccc1
353,[NH3+]C(C)CC,O=S(=O)([O-])c1ccc2cc3cc(ccc3cc2c1)S(=O)(=O)[O-],C1COCCO1
354,[NH3+]C(C)CC,O=S(=O)([O-])c1ccc2cc3cc(ccc3cc2c1)S(=O)(=O)[O-],C1COCCO1
355,C1[NH+]2CN3CN1CN(C2)C3,OC(=O)c1cc(ccc1O)S(=O)(=O)[O-],O
356,C1[NH+]2CN3CN1CN(C2)C3,Oc1ccc(cc1C(=O)[O-])S(=O)(=O)[O-],O
357,[NH3+]C(C)CC,O=S(=O)([O-])c1ccc2cc3cc(ccc3cc2c1)S(=O)(=O)[O-],C1COCCO1
