,A,B,G,cryst
1203,[OH2][Zn+2]([OH2])([OH2])([OH2])([OH2])[OH2],O=S(=O)([O-])c1ccc2c(cccc2S(=O)(=O)[O-])c1,CC[NH+](CC)CC,1
1204,CN1C=C[NH+]=C1C,O=S(=O)([O-])c1ccccc1,CN1C=CN=C1C,1
1205,CCC1=C(C)C2=CC3=[NH+]C(=CC4=C(CC)C(=C(N4)C4=C(C)C(=C(N4)C=C4[NH+]=C(C=C1N2)C(=C4C)CC)C)CC)C(=C3C)C,Cc1ccc(cc1)S(=O)(=O)[O-],ClCCl,1
1206,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1cc(c2ccc(cc2)S(=O)(=O)[O-])c(cc1c1ccc(cc1)S(=O)(=O)[O-])c1ccc(cc1)S(=O)(=O)[O-],CC(C)=O,1
1207,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)C(c1ccc(cc1)S(=O)(=O)[O-])c1ccc(cc1)S(=O)(=O)[O-],Cc1cc(C)cc(C)c1,1
1208,CC(C)(C)c1[nH+]c2Nc3c(nc4Nc5c([nH+]c6Nc7c(nc8Nc1c1c2c3c4c5c6c7c81)C(C)(C)C)C(C)(C)C)C(C)(C)C,Cc1ccc(cc1)S(=O)(=O)[O-],Cc1ccccc1,1
1209,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],CC1=CC(=C(Nc2ccccc2N(=O)=O)S1)C#N,1
1210,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(CCc2ccc(cc2)S(=O)(=O)[O-])cc1,CC1=CC(=C(Nc2ccccc2N(=O)=O)S1)C#N,1
1211,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(C=Cc2ccc(cc2)S(=O)(=O)[O-])cc1,CC1=CC(=C(Nc2ccccc2N(=O)=O)S1)C#N,1
1212,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(OCCOc2ccc(cc2)S(=O)(=O)[O-])cc1,CC1=CC(=C(Nc2ccccc2N(=O)=O)S1)C#N,1
1213,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc3cc(ccc3cc2c1)S(=O)(=O)[O-],CC1=CC(=C(Nc2ccccc2N(=O)=O)S1)C#N,1
1214,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc(ccc2c1)S(=O)(=O)[O-],N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N,1
1215,NC(N)=[NH2+],O=S(=O)([O-])c1cccc2ccccc12,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N,1
1216,NC(N)=[NH2+],O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N,1
1217,N1C(=[NH+]c2ccccc12)c1cccc(n1)C1=[NH+]c2ccccc2N1,Cc1cc(C)c(c(C)c1)S(=O)(=O)[O-],[Cl-],1
1218,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],CS(C)=O,1
1219,NC(N)=[NH2+],O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],N#CCCCCC#N,1
1220,NC(N)=[NH2+],O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],CCCCCC#N,1
1221,NC(N)=[NH2+],O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],CCCCCCCC#N,1
1222,NC(N)=[NH2+],O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],COCCOCCOCCOC,1
1223,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc(ccc2c1)S(=O)(=O)[O-],N#Cc1ccccc1,1
1224,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],Cc1ccccc1,1
1225,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],Cc1cccc(C)c1,1
1226,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],Cc1cccc(C)c1,1
1227,CCC1=C(C)C2=C3C=C(C4=[NH+]C(=CC5=C(CC)C(=C(N5)C5=CC(=C6[NH+]=C(C=C1N2)C(=C6C)CC)c1ccccc51)C)C(=C4C)CC)c1ccccc31,COS(=O)(=O)[O-],ClC(Cl)Cl,1
1228,N1C2=CC=C1C(=C1C=CC(=N1)C(=C1[NH+]=C(C=C1)C(=C1C=CC(=N1)C(=C1NC(=C(c3ccccc3)C3=NC(=C2c2ccccc2)C=C3)C=C1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,CS(=O)(=O)[O-],CS(O)(=O)=O,1
1229,[nH+]1ccc(cc1)c1cc[nH+]cc1,OC(=O)c1cc(ccc1C(=O)[O-])S(=O)(=O)[O-],c1ccc2cc3ccccc3cc2c1,1
1230,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1ccc(cc1)c1ccc2cc3ccccc3cc2c1,CN(C)c1ccccc1,1
1231,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1ccc(cc1)c1ccc2cc3ccccc3cc2c1,Cc1cc(C)cc(C)c1,1
1232,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1ccc(cc1)c1ccc2cc3ccccc3cc2c1,c1ccccc1,1
